Quarter,Region,State,Purpose,Trips,ds,year,ma_8,lag_8,ewm_8
1998 Q1,Adelaide,South Australia,Business,135.0776903,1998-01-01,1998,,,
1998 Q2,Adelaide,South Australia,Business,109.987316,1998-04-01,1998,,,
1998 Q3,Adelaide,South Australia,Business,166.0346866,1998-07-01,1998,,,
1998 Q4,Adelaide,South Australia,Business,127.1604643,1998-10-01,1998,,,
1999 Q1,Adelaide,South Australia,Business,137.4485333,1999-01-01,1999,,,
1999 Q2,Adelaide,South Australia,Business,199.9125861,1999-04-01,1999,,,
1999 Q3,Adelaide,South Australia,Business,169.3550898,1999-07-01,1999,,,
1999 Q4,Adelaide,South Australia,Business,134.3579372,1999-10-01,1999,147.41678795,,
2000 Q1,Adelaide,South Australia,Business,154.034398,2000-01-01,2000,149.78637641249998,135.0776903,135.0776903
2000 Q2,Adelaide,South Australia,Business,168.7763637,2000-04-01,2000,157.135007375,109.987316,118.05207916785714
2000 Q3,Adelaide,South Australia,Business,223.0651159,2000-07-01,2000,164.2638110375,166.0346866,146.3093732673736
2000 Q4,Adelaide,South Australia,Business,241.2206893,2000-10-01,2000,178.52133916250003,127.1604643,135.69670628230446
2001 Q1,Adelaide,South Australia,Business,132.5000378,2001-01-01,2001,177.90277722500002,137.4485333,136.64124548825015
2001 Q2,Adelaide,South Australia,Business,178.3980945,2001-04-01,2001,175.21346577499997,199.9125861,170.32242131610346
2001 Q3,Adelaide,South Australia,Business,195.9963258,2001-07-01,2001,178.543620275,169.3550898,169.81056057812393
2001 Q4,Adelaide,South Australia,Business,101.1746931,2001-10-01,2001,174.39571476249998,134.3579372,151.10387093980268
2002 Q1,Adelaide,South Australia,Business,237.8327914,2002-01-01,2002,184.8705139375,154.034398,152.64810762146814
2002 Q2,Adelaide,South Australia,Business,150.7266327,2002-04-01,2002,182.6142975625,168.7763637,161.1414937060779
2002 Q3,Adelaide,South Australia,Business,167.7128424,2002-07-01,2002,175.695263375,223.0651159,193.74165589552533
2002 Q4,Adelaide,South Australia,Business,140.3395127,2002-10-01,2002,163.08511629999998,241.2206893,218.73380996326733
2003 Q1,Adelaide,South Australia,Business,139.4467919,2003-01-01,2003,163.9534605625,132.5000378,173.34487058230218
2003 Q2,Adelaide,South Australia,Business,159.6580081,2003-04-01,2003,161.61094976249998,178.3980945,176.00453826831628
2003 Q3,Adelaide,South Australia,Business,232.1073047,2003-07-01,2003,166.124822125,195.9963258,186.52667441050372
2003 Q4,Adelaide,South Australia,Business,158.5960175,2003-10-01,2003,173.302487675,101.1746931,141.60429039122909
2004 Q1,Adelaide,South Australia,Business,138.4674189,2004-01-01,2004,160.8818161125,237.8327914,192.25102399090835
2004 Q2,Adelaide,South Australia,Business,229.7141455,2004-04-01,2004,170.7552552125,150.7266327,170.39604970331118
2004 Q3,Adelaide,South Australia,Business,242.4943675,2004-07-01,2004,180.10294585,167.7128424,168.98383436889623
2004 Q4,Adelaide,South Australia,Business,123.0611006,2004-10-01,2004,177.9431443375,140.3395127,153.90787071979796
2005 Q1,Adelaide,South Australia,Business,127.9992552,2005-01-01,2005,176.51220225,139.4467919,146.2967754380727
2005 Q2,Adelaide,South Australia,Business,73.2530124,2005-04-01,2005,165.7115777875,159.6580081,153.32900366520397
2005 Q3,Adelaide,South Australia,Business,166.7247035,2005-07-01,2005,157.5387526375,232.1073047,194.79126879300074
2005 Q4,Adelaide,South Australia,Business,122.2969489,2005-10-01,2005,153.0013690625,158.5960175,175.7411362233338
2006 Q1,Adelaide,South Australia,Business,127.247714,2006-01-01,2006,151.59890595000002,138.4674189,156.123390112373
2006 Q2,Adelaide,South Australia,Business,176.075701,2006-04-01,2006,144.8941003875,229.7141455,194.85536677368475
2006 Q3,Adelaide,South Australia,Business,157.857561,2006-07-01,2006,134.314499575,242.4943675,219.92852509408476
2006 Q4,Adelaide,South Australia,Business,106.677495,2006-10-01,2006,132.266548875,123.0611006,168.94567005540407
2007 Q1,Adelaide,South Australia,Business,134.3680297,2007-01-01,2007,133.0626456875,127.9992552,147.39492538629673
2007 Q2,Adelaide,South Australia,Business,168.5935923,2007-04-01,2007,144.980218175,73.2530124,108.37286591264721
2007 Q3,Adelaide,South Australia,Business,146.1038104,2007-07-01,2007,142.4026065375,166.7247035,139.0843593823508
2007 Q4,Adelaide,South Australia,Business,134.5737045,2007-10-01,2007,143.9372009875,122.2969489,130.2488801807489
2008 Q1,Adelaide,South Australia,Business,127.1683903,2008-01-01,2008,143.927285525,127.247714,128.66931903295543
2008 Q2,Adelaide,South Australia,Business,151.9719803,2008-04-01,2008,140.91432043749998,176.075701,153.6200463842626
2008 Q3,Adelaide,South Australia,Business,152.2058109,2008-07-01,2008,140.207851675,157.857561,155.8503172346605
2008 Q4,Adelaide,South Australia,Business,160.6362718,2008-10-01,2008,146.952698775,106.677495,129.96988447952225
2009 Q1,Adelaide,South Australia,Business,113.8600217,2009-01-01,2009,144.38919777499999,134.3680297,132.2846977534602
2009 Q2,Adelaide,South Australia,Business,152.7243494,2009-04-01,2009,142.40554241249998,168.5935923,151.39464225164795
2009 Q3,Adelaide,South Australia,Business,121.9832332,2009-07-01,2009,139.3904702625,146.1038104,148.6099939086747
2009 Q4,Adelaide,South Australia,Business,191.1538074,2009-10-01,2009,146.462983125,134.5737045,141.2224731672662
2010 Q1,Adelaide,South Australia,Business,68.7253928,2010-01-01,2010,139.15760843750002,127.1683903,133.82558744765205
2010 Q2,Adelaide,South Australia,Business,182.18332,2010-04-01,2010,142.9340259,151.9719803,143.3763205278354
2010 Q3,Adelaide,South Australia,Business,120.5336824,2010-07-01,2010,138.9750098375,152.2058109,148.02342072371152
2010 Q4,Adelaide,South Australia,Business,155.0707525,2010-10-01,2010,138.27931992499998,160.6362718,154.66176339544234
2011 Q1,Adelaide,South Australia,Business,109.699807,2011-01-01,2011,137.7592930875,113.8600217,133.18716250310422
2011 Q2,Adelaide,South Australia,Business,148.4397274,2011-04-01,2011,137.22371533749998,152.7243494,143.46989244883883
2011 Q3,Adelaide,South Australia,Business,140.6574624,2011-07-01,2011,139.5579939875,121.9832332,132.1611244231342
2011 Q4,Adelaide,South Australia,Business,148.815411,2011-10-01,2011,134.2656944375,191.1538074,163.2099049372741
2012 Q1,Adelaide,South Australia,Business,126.8571108,2012-01-01,2012,141.53215918749999,68.7253928,113.48121433870877
2012 Q2,Adelaide,South Australia,Business,154.920891,2012-04-01,2012,138.1243555625,182.18332,149.64021731833574
2012 Q3,Adelaide,South Australia,Business,150.0191305,2012-07-01,2012,141.810036575,120.5336824,134.32098841394853
2012 Q4,Adelaide,South Australia,Business,178.3637579,2012-10-01,2012,144.72166225,155.0707525,145.2419168802914
2013 Q1,Adelaide,South Australia,Business,101.6471351,2013-01-01,2013,143.71507826250001,109.699807,126.53554325908542
2013 Q2,Adelaide,South Australia,Business,100.6409434,2013-04-01,2013,137.7402302625,148.4397274,138.06406122798785
2013 Q3,Adelaide,South Australia,Business,179.8741671,2013-07-01,2013,142.64231834999998,140.6574624,139.42900921325742
2013 Q4,Adelaide,South Australia,Business,142.8077977,2013-10-01,2013,141.89136668749998,148.815411,144.36922067996406
2014 Q1,Adelaide,South Australia,Business,138.8302798,2014-01-01,2014,143.3880128125,126.8571108,135.15232074314088
2014 Q2,Adelaide,South Australia,Business,154.5054125,2014-04-01,2014,143.336078,154.920891,145.5568314046457
2014 Q3,Adelaide,South Australia,Business,185.6021634,2014-07-01,2014,147.7839571125,150.0191305,147.9054098758848
2014 Q4,Adelaide,South Australia,Business,168.3471197,2014-10-01,2014,146.5318773375,178.3637579,163.93611936226122
2015 Q1,Adelaide,South Australia,Business,142.7914525,2015-01-01,2015,151.6749170125,101.6471351,131.15244343475533
2015 Q2,Adelaide,South Australia,Business,167.9152552,2015-04-01,2015,160.0842059875,100.6409434,115.09375920593675
2015 Q3,Adelaide,South Australia,Business,176.4594617,2015-07-01,2015,159.6573678125,179.8741671,149.18871072912793
2015 Q4,Adelaide,South Australia,Business,186.7256903,2015-10-01,2015,165.1471043875,142.8077977,145.83033545063958
2016 Q1,Adelaide,South Australia,Business,182.0982561,2016-01-01,2016,170.555601425,138.8302798,142.1460956345135
2016 Q2,Adelaide,South Australia,Business,187.8089202,2016-04-01,2016,174.71853988750001,154.5054125,148.65099924792747
2016 Q3,Adelaide,South Australia,Business,195.9832501,2016-07-01,2016,176.01617572499998,185.6021634,168.09898038059723
2016 Q4,Adelaide,South Australia,Business,152.4288872,2016-10-01,2016,174.0263966625,168.3471197,168.22958002238818
2017 Q1,Adelaide,South Australia,Business,129.0288286,2017-01-01,2017,172.30606867499998,142.7914525,154.8410918527102
2017 Q2,Adelaide,South Australia,Business,173.7363936,2017-04-01,2017,173.033710975,167.9152552,161.72223045654695
2017 Q3,Adelaide,South Australia,Business,185.3025775,2017-07-01,2017,174.13910044999997,176.4594617,169.4786679531012
2017 Q4,Adelaide,South Australia,Business,197.2800029,2017-10-01,2017,175.45838952499997,186.7256903,178.55604813567953
